abound   v.充满;富于
literal  adj.照字面的，非比喻 (引申义) 的;逐字的
litigation   n.诉讼, 起诉
livestock   n.牲畜
loaf   v.游荡, 虚度光阴
loathe   v.憎恨，厌恶
locomotive n.火车头
lofty  adj.高耸的;高尚的
log   n.圆木
loiter   v.游荡
longitude   
n.经度, 经线
loom   
n.织布机 v.隐约闪现;逼近
loophole   n.漏洞
loot   v.掠夺
lore   n.(传统的) 知识
lucid   adj.(知识、道理等) 明晰的;清晰的
lucrative   adj.赚钱的，有利可图的
ludicrous   adj.可笑的, 滑稽的
lukewarm   adj.(指液体) 不冷不热的，微温的
lull   v.使平静
luminosity   n.亮度，发光度
lure   vt.引诱，诱惑n.饵;诱惑
luster   n.声望;光彩，光泽
maim   vt.使残废，损伤
maize   n.玉米
majestic   adj.壮观的，庄严的
makeshift   adj.权宜之计的, 凑合的
malleable  adj.有延展性的, 可锻的 
mallet  n.槌棒
mammoth   n.猛犸象 adj.巨大的
mandate   n.命令，要求
mandatory   adj.命令的，强迫的
maneuver   vt.调遣；操纵 n.策略
mania   n.狂热
manipulate   v.操作; 操纵, 利用
manifestation  n.表现，表示
mannerism   n.(言语、写作中的) 特殊习惯, 怪癖
mantle   n.1.地幔 2.覆盖物;斗篷
manure   n.肥料
mar   v.弄坏, 毁坏
march  vi.前进;游行
marine   adj.1.海的，海产的 2.船只的，海运的
maritime   adj.海上的，海事的;近海的
markedly   adv.显著地, 明显地
marrow cavity  n.骨髓腔
marsh   n.湿地, 沼泽
mason   n.泥瓦匠
maverick   adj.独行的；不遵守传统的
meager  adj.很少的
mediate   v.斡旋，调停
mediocre   adj.平常的，普通的
meek   adj.温顺的，驯服的
melancholy   adj.忧郁的, 令人悲伤的
melodious   adj.声调优美的，悦耳的
melodrama   n.情节剧，音乐戏剧
membrane   n.膜, 隔膜
memento   n.纪念品
menace   v.威吓，胁迫
mercantile   adj.商业的
mercilessly  adv.无情地
meridian   n.子午线, 正午
mesmerize   v.施催眠术;使人迷, 迷住
metabolism   n.新陈代谢
metaphor   n.隐喻，暗喻
meteor   n.流星
methodically   adv.有系统地, 有方法地
methodology   n.方法论, 方法学
meticulous   adj.小心翼翼的, 极注意细节的
microbe   n.微生物 
mighty   adj.巨大的
migrant   n.1.移民 2.候鸟
migratory   adj.迁移的
milieu   n.周围的环境
mime   v.模拟，模仿
mimic  v.模仿，戏弄
miniature   adj.微型的, 缩小的
minuscule   adj.极小的
mirage   n.海市蜃楼, 幻景
mirth   n.笑料，欢笑
mitigate  v.使减轻, 使缓和
moat   n.护城河, 城壕
mock   v.(模仿性的) 嘲笑
moist   adj.湿润的, 多雨的
mold   v.塑造
modulate   v.调整，变调
molten   adj.熔融的, 熔化的
monarch   n.君主，帝王
monetary   adj.货币的, 金钱的
monochromatic adj.单色的
monopolize   v.独占，垄断
monotonous   adj.单调乏味的，无聊的
morale   n.土气
morphology   n.形态学，形态论
morsel   n.(食物) 一口，少量
mortal n.(普通的)人
mote  n.微粒，微尘
motif   n.(作品) 主题，主旨
mounting  adj.越来越多的
mournful   adj.悲哀的
mud mortar  灰泥浆
mulberry  n.桑树
multi-faceted  adj.多方面的，多才多艺的
mumble   v.喃喃而语, 咕哝
mundane   adj.世俗的, 平凡的
mural   n.壁画, 壁饰
mutual   adj.相互的, 共同的
myriad   n.许多，无数 adj.无数的
narcotic   adj.麻醉的，催眠的 n.催眠药
narrate  v.叙述 
nerve cord   脊髓
neuron   n.神经原，神经细胞
nibble   v.一点点地咬，慢慢啃
niche   n.壁龛
nickel   n.镍； (五分) 镍币
nimble   adj.轻快的；灵敏的
nobility   n.贵族
nocturnal   adj.(指生物) 夜间活动的
nonconformist   adj./ n.不遵照传统生活的 (人)
nonetheless   adv.虽然如此, 但是
nostalgia   n.思家病, 怀旧
notch   n.刻痕
notion   n.概念, 观念
notorious   adj.臭名昭著的，声名狼藉的
nourish   vt.养育；滋养
novel   adj.新奇的, 新颖的
novice   n.生手，新手
noxious   adj.有害的，有毒的
nuptial   n.婚礼
obdurate adj.执拗的
obituary   n.讣告，讣闻
oblique   adj.倾斜的; 拐弯抹角的，间接的
obliterate   v.涂掉，擦掉
obscure   v.隐藏，使...模糊 adj.模糊的, 晦涩的
obsess   vt.迷恋, 萦绕于心
obsolete   adj.废弃的，过时的
obstinate   adj.倔强的, 顽固的
obstruct  v.阻塞 (道路、信道等); 防碍, 阻挠
occult   adj.超自然的
octopus   n.章鱼
odor   n.气味
opaque   adj.不透明的;晦涩难懂的
ooze   n.淤泥
onslaught  n.猛攻，猛袭
onset  n.1.(病) 发作 2.开始
olfactory   adj.嗅觉的
opulence   n.富裕
oratorio   n.宗教剧
orchard   n.果园
orchid  n.兰花
ordeal   n.严峻考验, 痛苦的经历 
ordinance   n.法令，条例
ornate  adj.装饰华美的，华丽的
ostentatious  adj.卖弄的
ostracize  vt.放逐, 排斥
oust   v.驱逐；赶走
outgrow   v.生长速度超过, 长得比...快
outlive   v.比......长命
outmoded   adj.不再流行的，过时的
outrage   vt.激怒, 引起...义愤
outright   adj.彻底的，毫无保留的
outskirt   n.郊区
overcast   adj.阴天的，阴暗的
overhaul   n.检查, 修改
overlap   v.重迭，与...交搭，迭盖住
overt   adj.明显的, 公然的
owing   to 因......之缘故
oyster   n.牡蛎, 蚝
pacify   vt.安抚；平息
paddler   n.涉水者, 涉泥浆者
palatable  adj.美味的
panacea  n.灵丹妙药, 万灵药
pang   n.剧痛, 悲痛
paralysis   n.瘫痪, 中风
paramount   adj.最重要的, 最高权力的
parasite   n.寄生虫
parity   n.平等
particle  n.颗粒, 微粒
pastel   adj.柔和的
pasture   n.牧场, 草地
patch  n.片, 块
patriarch   n.家长, 族长
patrol   n.巡逻
patron  n.1.(对艺术等的)赞助人, 资助人 2.顾客
paucity   n.小量, 缺乏
pauper   n.贫民, 乞丐
pave  v.铺, 平摊
pebble   n.小鹅卵石
peck   v.啄, 啄起
pedagogy   n.教育学, 教学法
pedestal n.基架, 底座 
penal   adj.受刑罚的, 刑事的
penchant   n.爱好, 嗜好
pendant   adj.吊着的, 悬挂的
penetrate   v.穿透;渗透
penetrating   adj.1.(指声音) 响亮的, 尖锐的 2.刺激的(气味等)
perceive   v.察觉, 发觉
perch   v.(鸟)栖息
percussion  n.打击乐器
perennial   adj.四季不断的, 终年的; (植物)多年生的
perforate   v.打孔, 刺穿
perimeter   n.边缘, 周边地带
peripheral   adj.不重要的, 外围的
periphery  n.外围, 不重要的部分
perishable   adj.(尤指食物) 易腐的,易坏的
permeate   v.弥漫;渗透, 透过
perpendicular   adj.垂直的, 正交的
perpetual   adj.不间断的, 持续的;永久的, 永恒的
perspiration  n.汗水;出汗
pertinent   adj.相干的, 贴切的;中肯的
peruse   v.细读, 精读
petition  n.请愿
petroleum  n.石油
phase   n.阶段, 态
philanthropic   adj.博爱的;慈善的
philology   n.语言学, 文献学
piecemeal  adj.不连贯的, 逐步的
pierce   v.穿透, 戳穿
pigment   n.色素, 颜料
pinnacle   n.山顶, 顶点
pinpoint   v.发现, 查明
pique   vt.激怒；激起 (好奇等)
pivot   n.1.枢轴, 支点2.(讨论的)中心点, 重点
placid   adj.平静的, 平和的
plagiarism  n.剽窃, 抄袭
plague   n.瘟疫 v.折磨, 使苦恼
plank   n.厚木板
plantation   n.庄园
plasma   n.[解]血浆
plaster n.灰泥, 石膏 v.抹泥, 涂 
plateau  n.1.高原 2.平稳的状态
platitude  n.陈词滥调
playwright   n.剧作家
pliable   adj.1.易弯的, 柔软的 2.易受影响的;柔顺的
plight   n.(恶劣的)情势, 困境
plumage    n.鸟类羽毛
plume  n.羽毛
plumb   adj.垂直的
plump  adj.颇胖的, 丰满的
plunder   v.抢劫, 掠夺
pocketbook   n.钱袋, 皮夹
poll   n.民意测验
pollinate   v.对......授粉
polygon  n.多边形
ponder   v.沉思, 考虑
porcelain   n.瓷器, 瓷
pore   n.小孔, 气孔
porous   adj.可渗透的, 多孔的
portend   v.预兆, 预示
portion   n.一部分, 部分
portrait   n.肖像, 画像;描写
portray   vt.描述;绘制
posthumous  adj.死后的, 身后的
postpone   vt.推迟, 使延期
postulate   vt.要求, 假定
pouch   n.小袋
poultry   n.家禽
prairie  n.大草原
preach   v.传教, 讲道
precarious   adj.不稳定的;危险的
precede   v.在...之前, 早于
preclude   vt.避免;排除
precision   n.精确, 精密度
precursor   n.先驱, 先行者;先兆
predatory   adj.掠夺的, 食肉的
predecessor   n.前辈, 前任
predicament   n.困境
predisposition   n.倾向, 僻性
preeminent   adj.卓越的, 出类拔萃的
prefabricated  adj.预先制造的 
preliminary   adj.预备的, 初步的
preoccupation   n.当务之急;主要考虑因素
preponderance   n.(压倒性的) 优势
preposterous   adj.荒谬的
prerequisite   n.先决条件;前提
prescribe   v.1.指示, 规定 2.开药方
preside over  v.负责, 主持
prestige   n.威望, 声望
presumably   adv.据推测, 大概, 可能
pretension   n.要求, 主张
prevailing  adj.流行的, 盛行的
prey   n.被掠食者, 牺牲者, 食物 vi.捕食, 掠夺
primal   adj.最初的
primate   n.灵长目动物
prickle   v.刺;刺痛
primitive  adj.1.上古的, 原始的2.简陋的
primordial   adj.原始的
pristine   adj.原始的, 未被破坏的
probe   v.调查, 刺探
proclivity   n.倾向, 癖性
procure   v.获得, 取得
prod   v.刺激, 敦促
prodigious    adj.巨大的, 惊人的
prodigy   n.非凡之人, 天才
profound   adj.深刻的, 深奥的
profusion   n.丰富
prognosis   n.(症状)的诊断
proliferate   v.激增, 繁殖
prolific   adj.多产的, 多结果的
prolong  vt.拖长, 延长
prominent   adj.杰出的, 突出的
prompt   vt.鼓动, 促进 adj.准时的
prone   adj.倾向于......的
protagonist   n.提倡者, 支持者
propagate   v.1.繁殖 2.散布, 传播
provincialism   n.地方主义, 心胸狭窄的
pseudonym   n.假名, 笔名
prototype   n.原型
propulsion   n.推进, 推进力
prudent  adj.审慎的, 深谋远虑的 
pry open  撬开
propitious   adj.有利的, 吉利的
proprietor  n.所有者, 业主
puddle   n.小水洼
prune   v.修剪
pulp  n.果肉
prop   vt.支撑, 支持
prose   n.散文
proverbially   adv.众所周知地
pugnacity   n.好斗
pueblo   n.印第安人村庄
prophecy  n.预言
pulverize  v.研磨......成粉
prosecute   v.起诉;告发
propensity   n.倾向, 癖好
pungent  adj.(指气味、味道) 刺激性的, 辛辣的
quail   n.鹌鹑 v.畏惧, 颤抖
quarry   n.采石场
quartz   n.石英
quench   vt.1.淬火 2.熄灭;解渴
quilt   n.棉被 vt.制成棉被
quiescent   adj.静止的, 寂静的
quota   n.配额, 限额
raft   n.筏, 救生艇
rage   n.时尚, 风靡一时的事物
ragtime   n.拉格泰姆音乐 (或舞蹈) 一种源于美国黑人乐队的早期爵士乐
rally   v.召集; 恢复
rampant  adj.蔓生的, 猖獗的
rancher  n.大农 (牧) 场主或工人
rapport   n.和谐, 亲善
ratify  v.批准
ration   n.定量, 配给量 v.定量配给
rattle   n.拨浪鼓
raucous   adj.喧嚣的
ravage   vt.蹂躏, 毁坏
raven  n.大乌鸦
ravine   n.峡谷
raze   v.夷为平地
realm  n.王国, 领域
reap   v.收割, 收获 
rear   v.培养, 饲养 n.后面
rebate   n.回扣;折扣
rebuke   v.斥责, 谴责
receptacle   n.容器
recoil   vi.弹回, 反冲
recollection   n.回忆, 记忆
recruit   v.征兵, 征募, 补充
recreation   n.消遣, 娱乐
recur   vi.重现, 再来
reed  n.芦苇
refraction   n.折光, 折射
refurbish   v.刷新, 翻新, 擦亮
refute   vt.反驳
regime  n.政权, 政体, 政治制度
rehabilitate   v.修复, 恢复
reign   vt.统治
reimburse   v.偿还
reiterate   v.重申, 反复地说
rejuvenate   vt.使年轻, 使恢复
relic   n.遗迹, 纪念物
remedy  n.补救, 治疗法
remnant  n.残余, 遗迹
renaissance   n.复兴, 再生
render   v.给与
rendition   n.表演, 演唱
renovate   v.革新, 修复
rent  v.租, 出租 n.租金 adj.分裂的, 有矛盾的
renunciation   n.放弃;宣布终止
repel   v.击退, 驱逐
repertoire   n.(剧团等)常备剧目, 保留剧目
repertory   n.贮存, 保存;仓库
replenish   v.补充, 再装满
replica   n.复制品
reptile   n.爬行动物
repulse  v.击退
resent   v.愤恨, 怨恨
reservoir   n.水库, 蓄水池
residue   n.剩余 (财产);残余, 渣滓
reside   v.居住
resonance  n.回声, 反响
respiration   n.呼吸 
retentive   adj.保留的, 有记忆力的
retool   v.改组, 重新装备
retract   v.收回;取消
retrieve   v.重新找回, 取回
retrospect   n.反顾, 回顾
revenue   n.(营业) 收入;税收
revere   v.尊崇, 尊敬
revoke   v.废除, 宣告无效
revolt   v.反抗, 起义, 反叛
rhetoric   n.修辞 (学) ;辞令, 巧辩
ridge   n.脊, 山脊
rift   n.(地理上) 裂缝, 断裂, 长峡谷
rigid   adj.严格的;僵化的
rigorous  adj.严格的;精确的, 严密的
rinse   v.(用清水) 冲洗
riot   n.暴乱, 骚动
rip  v.撕, 撕裂
rite   n.仪式
ritual   n.典礼, (宗教)仪式 adj.典礼的, (宗教)仪式的
rivalry   n.竞争;敌对状态
roam   v.漫游
rod   n.杆
rudimentary   adj.根本的, 未发展的
rubble   n.(一堆)碎石, 瓦砾
ruefully  adv.感伤地
rugged   adj.高低不平的, 崎岖的
rupture   v.破裂, 决裂
rust   vt.生锈, 氧化
rustling   n.瑟瑟声, 轻微响动
saddle   n.鞍子, 马鞍 vt.使负担, 使承受
sagging  adj.下垂的
salient   adj.显著的, 突出的
saline   adj.含盐的, 咸的
salute   n.致敬
sanction  n.1.制裁 2.批准
sanctuary   n.1.圣所, 圣殿 2.保护之所, 动物保护区
sanitation   n.卫生
sap   n.树液
sarcastic  adj.讽刺的, 挖苦的 
satire   n.讽剌 (作品)
saturate   v.浸透;使充满, 使饱和
scanty   adj.缺乏的, 不足的
scapegoat   n.替罪羊, 代人受过的人
scarlet   adj.猩红的, 鲜红的, 深红的
scavenger   n.食腐动物
scheme   n.1.方案 2.阴谋
scorn   n.蔑视
scour   v.擦洗, 冲刷
scramble   v.1.搅乱, 使混杂 2.攀登
scrap   n.废料, 残余物 vt.扔弃
scrub  v.洗擦, 擦净
scruple   n.踌躇;顾忌
scrutiny   n.详细审查
scuba   n.水中呼吸器
seam   n.(岩石中的) 狭窄矿层
secession   n.脱离
seclusion   n.独处, 隔离
sect   n.宗派, 教派
secrete   v.分泌
secular   adj.世俗的、尘世的
sedentary   adj.1.(指工作)坐着做的 (不需运动的) 2.(指人或动物)土生的, 不移栖的, 固定不动的
sediment   n.沉积物, 沉淀物
seduce   v.勾引, 诱惑
seedling   n.幼苗 1.试图,努力争取 2.寻找
segregate   v.分离, 隔离
seismic   adj.地震的；有关地震的
sequel   n.结局
serendipitous   adj.偶然发现的
serene   adj.平静的
serrated   adj.锯齿状的
sever   v.切断, 脱离
sewerage   n.排水设备, 污水
shearing  n.剪羊毛
sheath   n.鞘, 外壳
sheen   n.光泽
sheer   adj.1.陡峭的 2.纯粹的, 绝对的
shepherd   n.牧羊人, 牧羊犬
shipwright   n.造船者
shrivel  v.(使)枯萎 
shrub  n.灌木, 灌木丛
shuffle   v.洗牌
shun   v.避开, 避免
shutter   n.百叶窗
silica   n.硅土
silt   n.淤泥, 残渣
skeleton   n.骨架
skeptical  adj.怀疑的, 多疑的
skimp   v.节省花费, 吝啬
skyrocket   v.猛涨, 突增
slab   n.厚片；板层
slash   v.大量削减
slender   adj.苗条的;纤细的;微薄的
slime  n.粘土;粘液
sloppily  adj.adv.潦草的, 不整洁地
sloth  n.树懒 (一种动物)
sluggish   adj.行动迟钝的, 缓慢的
smear   v.涂上
smother   v.使窒息
smudge  v.弄脏, 熏, 染污
stalk   v.隐伏跟踪 (猎物) n.茎, 柄, 梗
staircase   n.楼梯, 楼梯间
stanza  n.(诗) 节, 段
staple   n.主要产品 (或商品) adj.主要的, 常用的 v.把...订起来
starch   n.淀粉；淀粉食物
stardom   n.明星的身份或地位
stark   adj.光秃秃的, 荒凉的
startle   vt.使大吃一惊
stash   v.收集, 集中
stately   adj.庄严的, 堂皇的
stature   n.(精神、道德等的)高度
stiff   adj.1.硬的, 僵直的 2.(态度, 举止) 拘谨的
stifle   vt.使窒息;扼杀, 抑制
stingy   adj.吝啬的, 小气的
stink   v.发出臭味
stipend   n.薪水, 定期津贴 (如奖学金等)
stipulate   v.约定, 规定
stitch   v.缝
stun   v．使晕倒;使震惊
temperance  n.节制, 自制；戒酒
tempestuous   adj.有暴风雨的, 狂暴的
tenable   adj.可行的, 合理的
tenacious   adj.顽强的, 坚定的
tenement   n.(穷人) 公寓
tenor   n.要旨, 主旨
tentacle   n.触角, 触手
tepid   adj.微温的, 微热的
terminology    n.术语
termite   n.白蚁
terrace   n.梯田 v.使成梯田
terrain   n.地势, 地形
terrestrial   adj.地球的; 陆地的
terse   adj.简洁的, 简明的
therapeutic   adj.治疗的,治疗学的
thermal   adj.热的, 热量的
thesis   n.论题, 论文
thigh   n.大腿
thorny   adj.1.有刺的;多刺的 2.困难多的;棘手的
thoroughfare  n.通路, 大道
